単語,品詞
、,補助記号-読点
。,補助記号-句点
は,助詞-係助詞
て,助詞-接続助詞
の,助詞-格助詞
を,助詞-格助詞
た,助動詞
に,助詞-格助詞
だ,助動詞
も,助詞-係助詞
と,助詞-格助詞
が,助詞-格助詞
の,助詞-準体助詞
私,代名詞
し,動詞-非自立可能
メロス,名詞-普通名詞-一般
「,補助記号-括弧開
」,補助記号-括弧閉
で,助詞-格助詞
で,助動詞
ぬ,助動詞
いる,動詞-非自立可能
,空白
な,助動詞
から,助詞-格助詞
に,助動詞
それ,代名詞
来,動詞-非自立可能
人,名詞-普通名詞-一般
その,連体詞
王,名詞-普通名詞-一般
無い,形容詞-非自立可能
おまえ,代名詞
ある,動詞-非自立可能
くれ,動詞-非自立可能
友,名詞-普通名詞-一般
れ,助動詞
ない,助動詞
なっ,動詞-非自立可能
い,動詞-非自立可能
か,助詞-終助詞
ば,助詞-接続助詞
なら,動詞-非自立可能
事,名詞-普通名詞-一般
セリヌンティウス,名詞-固有名詞-人名-一般
ああ,感動詞-一般
か,助詞-副助詞
が,助詞-接続助詞
何,代名詞
ます,助動詞
よう,形状詞-助動詞語幹
君,代名詞
この,連体詞
男,名詞-普通名詞-一般
！,補助記号-句点
まで,助詞-副助詞
三,名詞-数詞
で,助詞-接続助詞
あっ,動詞-非自立可能
市,名詞-普通名詞-一般
妹,名詞-普通名詞-一般
お,接頭辞
出来,動詞-非自立可能
信じ,動詞-一般
いい,形容詞-非自立可能
どう,副詞
一,名詞-数詞
から,助詞-接続助詞
られ,助動詞
たち,接尾辞-名詞的-一般
いま,名詞-普通名詞-副詞可能
ここ,代名詞
そう,副詞
もの,名詞-普通名詞-サ変可能
走る,動詞-一般
走っ,動詞-一般
村,名詞-普通名詞-一般
もう,副詞
です,助動詞
たい,助動詞
帰っ,動詞-一般
たら,助動詞
時,名詞-普通名詞-副詞可能
これ,代名詞
殺し,動詞-一般
メロス,名詞-固有名詞-人名-一般
わし,代名詞
ぞ,助詞-終助詞
下さい,動詞-非自立可能
せ,助動詞
声,名詞-普通名詞-一般
ない,形容詞-非自立可能
あの,連体詞
すぐ,副詞
陽,名詞-普通名詞-副詞可能
れる,助動詞
ながら,助詞-接続助詞
