、,補助記号-読点-*-*-*-*
。,補助記号-句点-*-*-*-*
は,助詞-係助詞-*-*-*-*
て,助詞-接続助詞-*-*-*-*
の,助詞-格助詞-*-*-*-*
を,助詞-格助詞-*-*-*-*
に,助詞-格助詞-*-*-*-*
た,助動詞-*-*-*-助動詞-タ-終止形-一般
も,助詞-係助詞-*-*-*-*
と,助詞-格助詞-*-*-*-*
だ,助動詞-*-*-*-助動詞-ダ-終止形-一般
が,助詞-格助詞-*-*-*-*
の,助詞-準体助詞-*-*-*-*
私,代名詞-*-*-*-*-*
メロス,名詞-普通名詞-一般-*-*-*
し,動詞-非自立可能-*-*-サ行変格-連用形-一般
「,補助記号-括弧開-*-*-*-*
」,補助記号-括弧閉-*-*-*-*
た,助動詞-*-*-*-助動詞-タ-連体形-一般
で,助詞-格助詞-*-*-*-*
で,助動詞-*-*-*-助動詞-ダ-連用形-一般
,空白-*-*-*-*-*
な,助動詞-*-*-*-助動詞-ダ-連体形-一般
から,助詞-格助詞-*-*-*-*
ぬ,助動詞-*-*-*-助動詞-ヌ-終止形-一般
に,助動詞-*-*-*-助動詞-ダ-連用形-ニ
それ,代名詞-*-*-*-*-*
いる,動詞-非自立可能-*-*-上一段-ア行-終止形-一般
人,名詞-普通名詞-一般-*-*-*
その,連体詞-*-*-*-*-*
おまえ,代名詞-*-*-*-*-*
来,動詞-非自立可能-*-*-カ行変格-連用形-一般
王,名詞-普通名詞-一般-*-*-*
友,名詞-普通名詞-一般-*-*-*
なっ,動詞-非自立可能-*-*-五段-ラ行-連用形-促音便
か,助詞-終助詞-*-*-*-*
れ,助動詞-*-*-*-助動詞-レル-連用形-一般
ない,助動詞-*-*-*-助動詞-ナイ-終止形-一般
ば,助詞-接続助詞-*-*-*-*
なら,動詞-非自立可能-*-*-五段-ラ行-未然形-一般
ある,動詞-非自立可能-*-*-五段-ラ行-終止形-一般
無い,形容詞-非自立可能-*-*-形容詞-終止形-一般
事,名詞-普通名詞-一般-*-*-*
セリヌンティウス,名詞-固有名詞-人名-一般-*-*
ああ,感動詞-一般-*-*-*-*
い,動詞-非自立可能-*-*-上一段-ア行-連用形-一般
か,助詞-副助詞-*-*-*-*
が,助詞-接続助詞-*-*-*-*
いる,動詞-非自立可能-*-*-上一段-ア行-連体形-一般
何,代名詞-*-*-*-*-*
ます,助動詞-*-*-*-助動詞-マス-終止形-一般
よう,形状詞-助動詞語幹-*-*-*-*
君,代名詞-*-*-*-*-*
この,連体詞-*-*-*-*-*
男,名詞-普通名詞-一般-*-*-*
！,補助記号-句点-*-*-*-*
まで,助詞-副助詞-*-*-*-*
三,名詞-数詞-*-*-*-*
で,助詞-接続助詞-*-*-*-*
あっ,動詞-非自立可能-*-*-五段-ラ行-連用形-促音便
市,名詞-普通名詞-一般-*-*-*
妹,名詞-普通名詞-一般-*-*-*
どう,副詞-*-*-*-*-*
